Age,Gender,Weight (kg),Height (m),Workout_Type,BMI
52,Male,105.2,1.62,HIIT,40.09
33,Female,45.9,1.5,Yoga,20.4
58,Female,65.2,1.63,HIIT,24.54
53,Female,56.3,1.79,Strength,17.57
50,Male,90,1.7,Cardio,31.14
21,Female,60,1.7,Strength,20.76
50,Male,51.5,1.71,Yoga,17.61
31,Female,63.1,1.64,Cardio,23.46
38,Male,91.5,1.77,Yoga,29.21
37,Male,48.7,1.67,Yoga,17.46
25,Female,57.8,1.56,Yoga,23.75
24,Female,42,1.75,Strength,13.71
20,Male,128.4,1.92,Cardio,34.83
34,Female,74.2,1.57,Cardio,30.1
50,Male,89.6,1.68,Cardio,31.75
29,Male,125.9,2,Strength,31.48
39,Male,105.5,1.99,HIIT,26.64
39,Male,93.4,1.7,Strength,32.32
47,Male,82.1,1.84,Strength,24.25
55,Female,42.9,1.69,Yoga,15.02
55,Male,128.4,1.68,Cardio,45.49
25,Male,112.4,1.96,Cardio,29.26
44,Female,77.7,1.79,HIIT,24.25
44,Male,89.3,1.99,HIIT,22.55
51,Female,70.3,1.55,Yoga,29.26
38,Female,59.1,1.72,Cardio,19.98
47,Female,49.9,1.69,HIIT,17.47
50,Male,101.7,1.67,HIIT,36.47
45,Male,93,1.91,Cardio,25.49
50,Male,87.4,1.6,Strength,34.14
22,Female,55.1,1.61,HIIT,21.26
36,Male,123.7,1.69,Cardio,43.31
21,Female,61.3,1.57,HIIT,24.87
52,Male,72.3,1.94,Yoga,19.21
34,Female,69.2,1.53,HIIT,29.56
45,Male,81.4,1.61,Cardio,31.4
47,Male,84.8,1.86,HIIT,24.51
46,Male,55.1,1.72,Yoga,18.62
23,Female,59,1.78,Yoga,18.62
52,Female,64.9,1.51,HIIT,28.46
58,Male,109.7,1.75,HIIT,35.82
54,Male,78.4,1.9,Yoga,21.72
41,Female,76.7,1.79,Yoga,23.94
46,Female,63.1,1.61,Strength,24.34
48,Female,62.9,1.58,Strength,25.2
52,Male,85.6,1.74,Yoga,28.27
50,Female,66.3,1.57,HIIT,26.9
38,Male,61.3,1.97,Cardio,15.8
49,Female,44.1,1.65,HIIT,16.2
40,Male,63.8,1.62,HIIT,24.31
50,Female,55.4,1.55,Strength,23.06
20,Female,74.7,1.58,Strength,29.92
35,Female,78,1.67,Strength,27.97
42,Female,57.5,1.67,Yoga,20.62
59,Female,60.7,1.73,Yoga,20.28
48,Male,69,1.74,HIIT,22.79
20,Female,75.8,1.78,HIIT,23.92
57,Female,75.7,1.63,Cardio,28.49
41,Female,71.2,1.64,HIIT,26.47
49,Male,85,1.68,HIIT,30.12
39,Female,63.6,1.56,Strength,26.13
40,Male,73.2,1.94,Strength,19.45
19,Female,48.3,1.52,Strength,20.91
44,Female,42.8,1.78,Strength,13.51
59,Male,88.1,1.76,Strength,28.44
19,Female,72.4,1.75,Cardio,23.64
43,Male,73.2,1.88,Cardio,20.71
34,Male,110.5,1.86,Cardio,31.94
57,Female,46.1,1.76,Strength,14.88
50,Male,90.8,1.71,Yoga,31.05
26,Female,59.3,1.51,Strength,26.01
56,Female,45.1,1.73,Strength,15.07
46,Male,45,1.77,Cardio,14.36
59,Male,89.4,1.62,Strength,34.06
43,Male,127.7,1.69,Cardio,44.71
52,Male,70.9,1.72,Strength,23.97
42,Female,49.2,1.5,HIIT,21.87
41,Female,62.3,1.79,Yoga,19.44
30,Male,64.1,1.87,Yoga,18.33
24,Female,69.7,1.75,Cardio,22.76
53,Female,56.9,1.59,HIIT,22.51
37,Female,53,1.71,Yoga,18.13
18,Female,72.7,1.55,Cardio,30.26
25,Male,76.5,1.96,Strength,19.91
33,Male,113.6,1.99,Strength,28.69
31,Female,62.5,1.62,HIIT,23.81
29,Male,95.2,1.86,Yoga,27.52
40,Male,51.7,1.82,Strength,15.61
32,Male,105.3,1.67,Cardio,37.76
45,Female,71.2,1.68,Strength,25.23
51,Female,78.1,1.51,Strength,34.25
19,Female,50.6,1.68,Yoga,17.93
49,Male,70.2,1.89,Yoga,19.65
40,Female,62.6,1.53,Cardio,26.74
39,Female,60.6,1.65,HIIT,22.26
42,Male,76.4,1.97,HIIT,19.69
39,Female,63.3,1.71,Strength,21.65
39,Female,68.6,1.64,Cardio,25.51
59,Male,123.3,1.88,HIIT,34.89
23,Male,107,1.94,HIIT,28.43
32,Male,68.3,1.92,Strength,18.53
54,Female,47.8,1.6,Cardio,18.67
50,Female,58.4,1.79,HIIT,18.23
25,Female,74.3,1.71,Yoga,25.41
22,Male,106.8,1.82,Yoga,32.24
56,Male,125.5,1.8,Strength,38.73
21,Female,55.2,1.55,Strength,22.98
23,Female,71.4,1.72,Strength,24.13
49,Male,77.7,1.61,Strength,29.98
47,Male,88.4,1.6,HIIT,34.53
52,Male,104.8,1.99,Cardio,26.46
57,Male,82.2,1.69,Strength,28.78
33,Female,68.2,1.75,Strength,22.27
30,Male,91.4,1.99,HIIT,23.08
59,Female,42.1,1.65,Strength,15.46
47,Female,68.7,1.76,Strength,22.18
36,Female,47.2,1.74,Cardio,15.59
34,Male,92,1.76,Yoga,29.7
36,Male,56.2,1.95,Strength,14.78
45,Male,58.4,1.72,HIIT,19.74
43,Male,82.9,1.95,Cardio,21.8
54,Female,66.9,1.74,HIIT,22.1
43,Male,66.3,1.85,Cardio,19.37
40,Male,93.6,1.93,Cardio,25.13
26,Female,64.1,1.5,Strength,28.49
29,Male,86.7,1.62,Strength,33.04
18,Female,62,1.59,Strength,24.52
18,Female,58.1,1.61,Yoga,22.41
51,Female,64.9,1.6,Yoga,25.35
49,Female,69.3,1.62,HIIT,26.41
42,Female,42.7,1.74,Strength,14.1
57,Female,51.4,1.63,Yoga,19.35
18,Female,67.4,1.6,Strength,26.33
33,Female,55.6,1.61,Yoga,21.45
56,Male,125.3,1.86,Yoga,36.22
22,Male,102.1,1.85,Cardio,29.83
39,Male,61.9,1.77,Strength,19.76
46,Male,108.8,1.64,Strength,40.45
20,Female,51.1,1.58,Yoga,20.47
29,Male,81.7,1.99,Strength,20.63
43,Female,42.7,1.66,Yoga,15.5
33,Male,81.8,1.99,Strength,20.66
54,Male,54.6,1.76,Cardio,17.63
39,Male,107.7,1.88,Strength,30.47
46,Female,56.9,1.6,Cardio,22.23
31,Male,78.8,1.71,HIIT,26.95
45,Female,48.2,1.64,Strength,17.92
22,Female,50.7,1.59,Strength,20.05
47,Male,86.6,1.99,Strength,21.87
22,Male,96.3,1.63,Cardio,36.25
29,Male,80.8,1.98,Strength,20.61
33,Female,58,1.53,Strength,24.78
43,Male,95.9,1.85,Yoga,28.02
43,Female,61.5,1.58,HIIT,24.64
38,Female,40.6,1.79,Cardio,12.67
56,Male,82.5,1.87,Yoga,23.59
53,Male,105.1,1.84,Cardio,31.04
50,Female,58.1,1.58,Yoga,23.27
47,Female,61,1.76,HIIT,19.69
54,Female,64.5,1.53,Yoga,27.55
40,Male,58.2,1.98,Cardio,14.85
27,Female,69.5,1.76,Strength,22.44
22,Male,62.2,1.84,Strength,18.37
53,Female,68,1.7,HIIT,23.53
51,Female,56.3,1.5,Cardio,25.02
48,Male,94.5,1.7,Cardio,32.7
27,Female,58,1.79,Cardio,18.1
36,Male,84,1.94,HIIT,22.32
49,Male,61,1.87,Strength,17.44
18,Female,64.8,1.53,Yoga,27.68
22,Male,45.7,1.77,HIIT,14.59
21,Male,80.9,1.9,Yoga,22.41
33,Female,64.1,1.63,Strength,24.13
41,Male,67,1.77,HIIT,21.39
33,Male,106.5,1.6,Strength,41.6
19,Male,95.1,1.85,Yoga,27.79
45,Female,65.5,1.57,Cardio,26.57
49,Male,105.7,1.64,Cardio,39.3
44,Female,48,1.76,Yoga,15.5
37,Female,69.5,1.5,Cardio,30.89
41,Male,66.1,1.69,Yoga,23.14
29,Male,68,1.7,HIIT,23.53
52,Male,50.3,1.78,HIIT,15.88
50,Female,69.3,1.68,HIIT,24.55
50,Male,86.7,1.63,Cardio,32.63
54,Male,125.9,1.94,Strength,33.45
29,Male,88.1,1.93,Cardio,23.65
20,Male,124.3,1.82,Cardio,37.53
18,Male,62,1.85,Strength,18.12
50,Female,69.7,1.72,Strength,23.56
57,Female,60.9,1.52,Strength,26.36
27,Male,76.5,1.97,Strength,19.71
46,Male,94.7,1.82,Cardio,28.59
30,Male,67.9,1.75,Yoga,22.17
29,Male,121.1,1.87,HIIT,34.63
48,Female,71.5,1.64,Yoga,26.58
19,Male,98.6,1.7,Cardio,34.12
52,Female,68.2,1.63,Strength,25.67
40,Female,57.7,1.69,HIIT,20.2
34,Male,124.6,1.63,HIIT,46.9
43,Female,73,1.59,Yoga,28.88
25,Female,59.4,1.51,Cardio,26.05
46,Female,52,1.65,Cardio,19.1
43,Female,42.2,1.65,Cardio,15.5
27,Male,89.3,1.64,HIIT,33.2
43,Male,110,1.76,Yoga,35.51
51,Female,66.2,1.58,HIIT,26.52
58,Male,58.6,1.66,HIIT,21.27
24,Male,51,1.67,Strength,18.29
21,Male,101.5,1.95,Yoga,26.69
28,Male,114.2,1.87,Strength,32.66
46,Male,54.4,1.72,Cardio,18.39
53,Female,52.4,1.57,HIIT,21.26
42,Male,85.2,1.81,Yoga,26.01
38,Male,83.6,1.74,Cardio,27.61
53,Male,115.4,1.92,Yoga,31.3
27,Male,71.2,1.97,HIIT,18.35
54,Female,78.1,1.6,Yoga,30.51
26,Female,54.2,1.65,Cardio,19.91
41,Female,77.6,1.76,Strength,25.05
52,Female,44.1,1.62,HIIT,16.8
52,Male,85.5,1.8,Strength,26.39
53,Female,47.8,1.76,HIIT,15.43
35,Male,102.5,1.94,Cardio,27.23
56,Male,118,1.9,HIIT,32.69
49,Male,82.3,1.84,Strength,24.31
41,Male,81.6,1.87,HIIT,23.33
40,Male,60.2,1.88,Cardio,17.03
49,Female,49.2,1.54,HIIT,20.75
54,Female,46.6,1.5,Strength,20.71
29,Female,68.7,1.72,Cardio,23.22
30,Female,60.6,1.55,Strength,25.22
40,Male,52.1,1.61,HIIT,20.1
42,Female,46.6,1.77,Yoga,14.87
52,Male,65.5,1.74,Strength,21.63
58,Female,44.2,1.57,HIIT,17.93
47,Male,89.1,1.84,Yoga,26.32
34,Male,65.9,1.62,Yoga,25.11
37,Female,55.6,1.57,Cardio,22.56
42,Male,63.7,1.98,Yoga,16.25
39,Male,86.2,1.82,Strength,26.02
30,Female,59.2,1.63,Strength,22.28
36,Male,85.4,1.88,Yoga,24.16
53,Female,68.1,1.55,HIIT,28.35
29,Female,60,1.62,Strength,22.86
58,Female,74.8,1.69,Strength,26.19
36,Male,90.3,1.65,Cardio,33.17
29,Male,86.1,1.65,HIIT,31.63
26,Male,73.7,1.66,Yoga,26.75
24,Female,67.7,1.56,HIIT,27.82
45,Male,78.3,1.96,Cardio,20.38
31,Female,48.2,1.65,Cardio,17.7
48,Female,56.8,1.51,HIIT,24.91
36,Male,112.4,1.63,Cardio,42.3
33,Female,59,1.67,Cardio,21.16
22,Male,98.4,1.88,Cardio,27.84
52,Male,66.5,1.6,HIIT,25.98
29,Male,106.5,1.81,Cardio,32.51
42,Male,88.4,1.93,Yoga,23.73
38,Male,88.4,1.79,Yoga,27.59
53,Female,53.3,1.74,Strength,17.6
40,Female,58.1,1.56,Yoga,23.87
33,Female,74.2,1.76,Strength,23.95
56,Male,84.6,1.63,HIIT,31.84
59,Male,78,1.92,Cardio,21.16
56,Male,89,1.68,Yoga,31.53
31,Female,42.7,1.76,Strength,13.78
48,Male,83.9,1.82,HIIT,25.33
22,Female,78.7,1.52,Strength,34.06
52,Female,65.9,1.52,Cardio,28.52
40,Male,76.9,1.92,Yoga,20.86
46,Male,84.3,2,HIIT,21.07
28,Female,62.4,1.6,Strength,24.37
35,Male,63.7,1.74,HIIT,21.04
29,Female,54.9,1.52,Strength,23.76
26,Male,76.4,1.79,Strength,23.84
27,Male,106.4,1.86,Cardio,30.76
34,Female,68.4,1.5,Cardio,30.4
55,Male,63.5,1.86,Strength,18.35
24,Female,59.4,1.5,Yoga,26.4
30,Male,113.4,1.91,HIIT,31.08
57,Female,61.9,1.52,HIIT,26.79
59,Female,70.7,1.68,Cardio,25.05
26,Male,111.5,1.9,Yoga,30.89
44,Female,72.1,1.66,Strength,26.16
19,Male,56.9,1.87,Cardio,16.27
22,Male,86.2,1.9,Strength,23.88
46,Male,59.4,1.68,Strength,21.05
54,Female,75.6,1.72,Cardio,25.55
55,Female,76.3,1.73,Yoga,25.49
36,Male,95.8,1.86,HIIT,27.69
25,Male,120.6,1.83,Cardio,36.01
18,Female,65.3,1.55,Yoga,27.18
39,Male,85.3,1.89,Strength,23.88
34,Male,68,1.68,Cardio,24.09
24,Female,52.6,1.57,HIIT,21.34
42,Male,63.3,1.77,HIIT,20.2
21,Female,76.3,1.65,Strength,28.03
53,Male,61,1.63,Cardio,22.96
23,Female,67.8,1.61,HIIT,26.16
48,Male,114.9,1.86,Cardio,33.21
36,Male,88,1.71,HIIT,30.09
56,Female,67.7,1.58,Strength,27.12
44,Male,124.8,1.85,Strength,36.46
27,Female,53,1.58,Cardio,21.23
43,Male,61.2,1.88,Yoga,17.32
36,Female,48.7,1.68,Yoga,17.25
56,Female,50.6,1.7,Strength,17.51
20,Female,72.6,1.73,HIIT,24.26
30,Female,70.4,1.56,Yoga,28.93
45,Male,52.5,1.88,Strength,14.85
37,Male,76.3,1.77,HIIT,24.35
45,Female,41.2,1.58,HIIT,16.5
25,Female,55.3,1.76,Yoga,17.85
58,Female,49.7,1.67,Strength,17.82
56,Male,48.3,1.87,HIIT,13.81
18,Male,83.2,1.96,HIIT,21.66
20,Male,120.5,1.73,Cardio,40.26
30,Male,121.6,2,Cardio,30.4
45,Female,73,1.75,Yoga,23.84
42,Female,57.5,1.67,Cardio,20.62
50,Female,42.7,1.53,Strength,18.24
55,Male,129.9,1.73,Yoga,43.4
23,Male,108.6,1.92,Yoga,29.46
49,Male,88.6,2,Cardio,22.15
38,Female,49.7,1.51,HIIT,21.8
33,Female,56.4,1.54,Strength,23.78
38,Male,46.9,1.74,Strength,15.49
28,Female,71.3,1.67,Strength,25.57
54,Male,71.6,1.86,Yoga,20.7
53,Male,82.3,1.61,Strength,31.75
52,Female,70.6,1.69,HIIT,24.72
36,Male,109.8,1.62,HIIT,41.84
37,Female,73.5,1.69,Cardio,25.73
35,Male,85.6,1.85,Strength,25.01
58,Female,74.6,1.68,Yoga,26.43
31,Female,63.2,1.8,Cardio,19.51
32,Female,62.6,1.63,HIIT,23.56
48,Male,87.1,1.76,Strength,28.12
18,Male,82.3,1.84,HIIT,24.31
20,Female,64.3,1.78,Cardio,20.29
33,Female,53.7,1.66,HIIT,19.49
40,Male,63,2,Strength,15.75
28,Male,128.4,1.86,Strength,37.11
29,Male,88,1.89,Cardio,24.64
27,Female,63.7,1.52,Strength,27.57
49,Male,83.7,1.87,HIIT,23.94
33,Male,102.6,1.75,HIIT,33.5
25,Female,77.7,1.55,Yoga,32.34
55,Male,87.5,1.88,Yoga,24.76
29,Male,87,1.86,Yoga,25.15
41,Male,82.8,1.66,HIIT,30.05
45,Female,65.4,1.68,HIIT,23.17
25,Female,47.2,1.71,Cardio,16.14
45,Female,58.2,1.7,Yoga,20.14
53,Female,73.5,1.55,HIIT,30.59
43,Female,55.2,1.73,Cardio,18.44
25,Female,64.4,1.71,HIIT,22.02
45,Female,73.5,1.74,Cardio,24.28
45,Male,89.6,1.81,Yoga,27.35
54,Male,86.5,1.76,Yoga,27.92
58,Female,46.1,1.67,Yoga,16.53
53,Male,68.5,1.97,HIIT,17.65
44,Male,94.6,1.84,HIIT,27.94
34,Female,54.2,1.52,Cardio,23.46
26,Male,47.7,1.77,Strength,15.23
50,Male,52.2,1.84,Strength,15.42
37,Male,88.8,1.95,Yoga,23.35
30,Male,101,1.68,Strength,35.79
45,Male,118.4,1.95,Yoga,31.14
46,Female,47.9,1.72,Cardio,16.19
30,Female,51.5,1.74,Strength,17.01
52,Female,79.9,1.51,Strength,35.04
23,Male,121.3,1.85,Yoga,35.44
35,Female,78.9,1.64,Cardio,29.34
22,Male,88.5,1.62,Strength,33.72
42,Male,73.5,1.63,Strength,27.66
19,Male,127.9,1.93,Strength,34.34
